"id","active","name","creation_date","inep_code","phone","type","website","login","address","responsible"
16,True,"Defesa Civil de Monte Mor","2017-06-06 14:04:13.48",NULL,"(19) 38799881","CIVIL_DEFENSE",NULL,19,16,16
17,True,"Proteção e Defesa Civil de Itu","2017-06-08 15:30:38.606",NULL,"(11) 940039394","CIVIL_DEFENSE",NULL,20,17,17
12,True,"Universidade de Taubaté - EAD","2017-05-30 16:12:34.286",NULL,"(12) 982108807","OTHER",NULL,15,12,12
45,True,"Defesa Civil Municipal de Erechim","2017-11-01 09:59:52.026",NULL,"(54) 35207136","CIVIL_DEFENSE","http://defesacivil.erechim.rs.gov.br",48,45,45
13,True,"Universidade de Taubaté","2017-05-30 20:06:18.685",NULL,"(12) 997998294","OTHER",NULL,16,13,13
32,True,"EE Prof Florentina Martins Sanchez","2017-09-12 09:19:46.589","35011162","(12) 38420270","SCHOOL",NULL,35,32,32
22,True,"Escola Estadual Florentina Martins Sanches","2017-07-12 14:18:12.618","35011162","(12) 38420270","SCHOOL",NULL,25,22,22
23,True,"Defesa Civil de Mesquita","2017-07-12 18:56:28.771",NULL,"(21) 964238753","CIVIL_DEFENSE",NULL,26,23,23
8,True,"E.E. Prof. Iris Célia Cabanellas Zannini","2017-05-20 22:11:41.985",NULL,"(68) 999617866","SCHOOL",NULL,11,8,8
7,True,"E.E. Divina Providência","2017-05-18 11:11:15.072","12017540","(68) 999256116","SCHOOL",NULL,10,7,7
25,True,"Subsecretaria Municipal de Proteção e Defesa Civil de Nova Iguaçu","2017-08-03 13:43:01.545",NULL,"(21) 37790660","CIVIL_DEFENSE",NULL,28,25,25
33,True,"Escola Estadual Professor Expedito Camargo Freire","2017-09-14 13:03:58.743","35442550","(12) 36623311","SCHOOL",NULL,36,33,33
53,True,"Instituto Federal do Norte de Minas Gerais - Campus Almenara","2018-01-11 14:22:40.691","1056995","(38) 32013050","SCHOOL","http://www.ifnmg.edu.br",56,53,53
10,True,"E.E. Dr. Pereira de Mattos","2017-05-24 21:10:21.692","35049219","(12) 36533947","SCHOOL",NULL,13,10,10
9,True,"E.E. Paulo Virgínio","2017-05-23 16:38:19.981","35012774","(12) 31111325","SCHOOL",NULL,12,9,9
15,True,"Secretaria Municipal de Educação da Estância Turística de Guaratinguetá","2017-06-06 12:41:18.361",NULL,"(12) 31287777","OTHER",NULL,18,15,15
36,True,"Coordenadoria de Defesa Civil de Torres","2017-09-18 17:16:50.643",NULL,"(51) 997085028","CIVIL_DEFENSE",NULL,39,36,36
27,True,"Escola Estadual de Ensino Médio Belo Porvir","2017-08-04 18:30:09.626","12031674","(68) 999639470","SCHOOL","http://escolabeloporvirac.blogspot.com.br",30,27,27
21,True,"E.E. Alexandre Fleming - Ensino Integral","2017-07-11 09:09:43.029",NULL,"(19) 36411163","SCHOOL",NULL,24,21,21
24,True,"COMDEC - Prefeitura de São Bento do Sapucaí","2017-07-19 11:40:13.266",NULL,"(12) 39716110","CIVIL_DEFENSE","http://https://www.saobentodosapucai.sp.gov.br/site/",27,24,24
20,True,"Brigada Municipal de Angra dos Reis","2017-07-05 23:01:46.333",NULL,"(24) 885119942","NGO","http://CAP SELVA BMA JAIRO FRANÇA",23,20,20
26,True,"E.E. Argentina Pereira Feitosa","2017-08-04 17:07:04.528","12009725","(68) 32341303","SCHOOL",NULL,29,26,26
37,True,"EE Prof Theodoro Corrêa Cintra","2017-09-19 11:58:50.89","35013286","(12) 36621700","SCHOOL",NULL,40,37,37
30,True,"Escola Municipal da Topolândia","2017-08-30 17:26:34.329","35448916","(12) 38925009","SCHOOL",NULL,33,30,30
31,True,"Instituto Federal de Educação e Tecnologia","2017-09-02 21:25:47.354",NULL,"(85) 999194398","OTHER",NULL,34,31,31
52,True,"Instituto Federal de Educação Ciência e Tecnologia Fluminense","2018-01-11 13:24:38.031","000002766760","(21) 26379700","SCHOOL","http://iff.edu.br/",55,52,52
38,True,"Centro Universitário Serra dos Órgãos","2017-09-25 17:33:17.427",NULL,"(24) 988097121","OTHER",NULL,41,38,38
28,True,"Escola Municipal Engº Sérgio Dias Freitas","2017-08-23 09:55:24.043",NULL,"(13) 988020287","SCHOOL",NULL,31,28,28
11,True,"EDAM - Escola Doutor Augusto Monteiro","2017-05-25 16:34:38.602","12012297","(68) 999117003","SCHOOL",NULL,14,11,11
46,True,"Coordenadoria Municipal de Defesa Civil de Tanguá","2017-11-01 17:00:18.864",NULL,"(21) 27474104","CIVIL_DEFENSE","http://defesacivil.tangua.rj.gov.br",49,46,46
44,True,"Prof. José Wadie Milad","2017-10-09 16:12:35.942","35908046","(12) 36428239","SCHOOL",NULL,47,44,44
59,True,"E.E. Santo Dias da Silva","2018-01-31 18:28:47.048",NULL,"(11) 56610943","SCHOOL",NULL,62,59,59
48,True,"Universidade Federal Rural do Rio de janeiro","2017-11-06 00:04:54.137",NULL,"(21) 995922248","OTHER",NULL,51,48,48
19,True,"Secretaria Municipal de Defesa Civil e Trânsito de Angra dos Reis","2017-07-01 13:29:24.088",NULL,"(24) 999071231","CIVIL_DEFENSE",NULL,22,19,19
14,True,"Universidade de Taubaté","2017-06-01 16:18:12.406",NULL,"(17) 997367440","OTHER",NULL,17,14,14
56,True,"EE Prof Francisco Pereira da Silva","2018-01-31 10:51:27.744",NULL,"(12) 39295572","SCHOOL",NULL,59,56,56
35,True,"E.E. Dr. Alfredo Pujol","2017-09-14 17:06:51.864",NULL,"(12) 36432777","SCHOOL",NULL,38,35,35
41,True,"E.M. Áurea Pires da Gama","2017-09-30 22:00:17.604",NULL,"(24) 33631236","SCHOOL",NULL,44,41,41
49,True,"Coordenadoria Municipal de Defesa Civil de Vargem Grande do Sul","2017-11-07 16:57:37.628",NULL,"(19) 36415877","CIVIL_DEFENSE",NULL,52,49,49
51,True,"Coordenadoria Municipal de Proteção e Defesa Civil de Nazareno","2017-12-28 14:31:55.94",NULL,"(35) 998232700","CIVIL_DEFENSE",NULL,54,51,51
